"PEAT_DEPTH","elev","aspect","slope","gdd","gsl","rain_ann","rain_daily","raindays_10mm","raindays_1mm","temp_mean","temp_min","temp_max"
41,6638,233.699102084626,0.579554759166618,818.821135,200.9718,1005.954015,2.75603839726027,53.435875,193.87132,5.22321875,2.41476041666667,8.031415
72,6679,165.963756532074,0.143319287580996,794.504694,197.25112,1033.706226,2.83207185205479,54.26141,195.400948,5.11692083333333,2.34436083333333,7.893436
30,6468,57.2315009212298,0.802426328065092,766.30368,192.9544,1071.92862,2.93679073972603,55.2341,197.16466,4.99833333333333,2.26398333333333,7.74107
80,6027,121.6908213046,0.792170998861734,725.96676,186.6988,1143.73584,3.13352284931507,56.6144,199.72852,4.82908333333333,2.14588333333333,7.52614
104,6597,51.8292443031983,0.536478798833945,779.87019,195.0232,1052.59641,2.88382578082192,54.76535,196.31578,5.05502083333333,2.30264583333333,7.81371
15,6213,35.0150397953571,0.795070491862476,741.56125,189.12,1112.37375,3.04759931506849,56.07625,198.7375,4.8928125,2.19135416666667,7.60625
21,6675,260.753887254434,0.108487475625453,799.620194,198.02912,1027.507726,2.81508966027397,54.08561,195.081348,5.1387125,2.35894416666667,7.921586
138,6326,95.1454581679389,0.487073040016335,751.434048,190.65704,1095.274992,3.00075340273973,55.74112,198.107216,4.93496666666667,2.22054666666667,7.65997866666667
19,6693,120.963756532075,0.270196979878931,807.878139,199.30972,1018.056331,2.78919542739726,53.810935,194.554488,5.17616041666667,2.38355875,7.970391
24,6415,59.3623134896353,0.812029569222918,763.754565,192.5402,1075.427085,2.94637557534247,55.313425,197.33528,4.98557291666667,2.25564791666667,7.72435166666667
180,6301,95.0290735817856,0.560334298828125,749.062932,190.26936,1098.847128,3.01054007671233,55.81458,198.266844,4.923075,2.21272,7.64444133333333
84,5944,114.662454575264,0.773551018180218,718.111284,185.46232,1161.669536,3.1826562630137,56.88306,200.234228,4.796775,2.12245666666667,7.485796
148,6609,42.4886367328365,0.678920005561983,781.843245,195.2986,1049.650805,2.87575563013699,54.688425,196.20344,5.06115625,2.30719791666667,7.821205
8,6070,113.085133672808,0.782715079629682,729.124271,187.18508,1136.726959,3.11432043561644,56.503115,199.529832,4.84131875,2.15487041666667,7.541299
157,6673,48.9361661126898,0.657789352173993,784.629692,195.74816,1046.250568,2.86643991232877,54.60128,196.018164,5.075075,2.31621166666667,7.839498
83,6135,52.2580301076515,0.647067541065657,735.795291,188.21068,1122.856539,3.07631928493151,56.268815,199.110472,4.86752708333333,2.17386208333333,7.573979
223,5972,114.372364922404,0.782158535773585,720.97213,185.9044,1154.53787,3.16311745205479,56.78155,200.05386,4.8075625,2.13059583333333,7.49898666666667
65,6687,88.4518423010212,0.182997085113032,789.50786,196.4908,1039.95384,2.84918860273973,54.4333,195.71322,5.09570833333333,2.33011666666667,7.86607333333333
0,6693,161.81095430035,0.352979547010135,797.409807,197.71836,1030.355103,2.82289069315069,54.170355,195.208344,5.13141875,2.35371375,7.91251633333333
139,6213,35.0150397953571,0.795070491862476,741.56125,189.12,1112.37375,3.04759931506849,56.07625,198.7375,4.8928125,2.19135416666667,7.60625
27,6341,80.8926656877454,0.585711715119051,757.039278,191.48944,1085.516962,2.9740190739726,55.53727,197.766876,4.95565416666667,2.2354425,7.685782
22,6501,47.9108378261676,0.80707909753554,768.098736,193.20328,1068.909344,2.92851875068493,55.16304,197.063312,5.0036,2.26802666666667,7.747384
56,5988,110.803747412209,0.721578789907551,720.007736,185.77928,1157.900944,3.17233135342466,56.82524,200.103912,4.80635,2.12892666666667,7.498184
7,6675,131.748054399636,0.302090967385114,802.58464,198.5052,1024.18116,2.80597578082192,53.9926,194.88508,5.1535,2.36846666666667,7.94106
113,6070,113.085133672808,0.782715079629682,729.124271,187.18508,1136.726959,3.11432043561644,56.503115,199.529832,4.84131875,2.15487041666667,7.541299
85,6050,94.6354634269027,0.576111478916371,732.400448,187.68904,1129.767192,3.09525258082192,56.38792,199.323816,4.85413333333333,2.16419666666667,7.55724533333333
203,6570,48.6782387219944,0.460439660151292,775.229354,194.31592,1058.991366,2.90134620821918,54.92551,196.606068,5.03554583333333,2.28941916666667,7.78870933333333
104,6683,223.726969979943,0.445416844504666,813.290304,200.13192,1011.980616,2.77254963287671,53.62536,194.216568,5.1994,2.39899,8.00050933333333
6,6365,66.434604129418,0.473805107819421,759.52906,191.8948,1081.99394,2.96436695890411,55.4599,197.59992,4.968125,2.24360833333333,7.70210666666667
170,6262,69.1091752375915,0.611456087221444,745.252758,189.68584,1105.585882,3.02900241643836,55.94737,198.505836,4.90765416666667,2.2018675,7.624952
22,6318,111.146094179407,0.516757944892329,752.991772,190.87056,1092.157488,2.99221229589041,55.67788,198.020524,4.939075,2.22391166666667,7.664718
36,6683,223.726969979943,0.445416844504666,813.290304,200.13192,1011.980616,2.77254963287671,53.62536,194.216568,5.1994,2.39899,8.00050933333333
